sample,IOP,OD,OS,IOP_class,Age,Age_class,Sex,ANGPT2_rlog,PTPRB_rlog,TEK_rlog,ANGPT2_vst,PTPRB_vst,TEK_vst,ANGPT2_raw,PTPRB_raw,TEK_raw
s_00077E8AE2,s_00077E8AE2,22,21,23,High,168,A3_Middle_Aged,M,6.82268340416605,7.72829147142229,7.58252017402507,7.93778330043953,8.58351411341643,8.58401013192695,66,161,154
s_00077E8BF4,s_00077E8BF4,12,13,11,Normal,165,A3_Middle_Aged,M,6.74883989957771,7.31964480735526,7.19467279014101,7.84751380884442,8.09902051608448,8.1160662298387,78,122,117
s_00077E8F69,s_00077E8F69,12,11,12,Normal,156,A3_Middle_Aged,M,7.02549248537898,7.47205566039258,7.33039712146066,8.18869714616311,8.27930683607875,8.27867357004282,153,180,172
s_00077E8FA0,s_00077E8FA0,0,0,0,NoData,NA,NoData,NoData,6.77934095044192,7.8108350256238,7.37093443258116,7.88570771917515,8.68258678462574,8.32686289316896,79,226,147
s_00077E8FAC,s_00077E8FAC,21,22,20,High,137,A2_Adult,M,7.24611782394944,7.4950451084147,7.45317697520653,8.4612132527282,8.30593177202108,8.42560837594489,207,172,198
s_00077E9010,s_00077E9010,10,10,10,Normal,135,A2_Adult,F,7.01510605245931,8.03625345519166,7.67082956501057,8.17615442463861,8.95636582051796,8.68908572858321,143,338,266
s_00077E9095,s_00077E9095,16,16,16,Elevated,127,A1_Adolescent,FP,6.99073437305714,7.73179885260453,7.55718127239408,8.14665524189731,8.58762805815523,8.55308059416308,89,173,148
s_00077E9288,s_00077E9288,16,16,15,Elevated,149,A2_Adult,M,7.18016248604965,7.4658040582398,7.40199738147818,8.38038864501532,8.26865486020827,8.36422919613829,134,113,131
s_00077E9391,s_00077E9391,15,16,15,Elevated,143,A2_Adult,F,6.85660160279807,7.53564147555184,7.37159500173087,7.9816393005621,8.35258471617289,8.32755481777872,83,138,133
s_00077E9421,s_00077E9421,20,21,20,High,149,A2_Adult,F,7.10646790485865,7.23064094699614,7.28368894156663,8.29152716102963,7.97476863648355,8.21862410333334,77,49,70
s_00077E9434,s_00077E9434,17,17,17,Elevated,183,A4_Aged,F,7.05014839114476,7.3134677353787,7.28512755055687,8.21774103806024,8.09879930749484,8.22632440529426,294,257,297
s_00077E94A0,s_00077E94A0,10,10,9,Normal,133,A1_Adolescent,FP,6.77911589514501,8.06090184060701,7.27902182204481,7.88377432040718,8.98841775751828,8.21589328323808,68,278,110
s_00077E94CF,s_00077E94CF,12,11,13,Normal,119,A1_Adolescent,F,6.9606412278725,7.70537952848417,7.46709979763839,8.11055916287328,8.55516727180318,8.44146423957688,264,483,405
s_00077E957E,s_00077E957E,10,10,10,Normal,228,A4_Aged,F,6.90666846693509,7.8625957786541,7.62074568542262,8.04428020684436,8.74491797219592,8.62841626029881,112,260,234
s_00077E96C6,s_00077E96C6,20,19,20,High,158,A3_Middle_Aged,FP,7.03616764014631,7.62580337660508,7.49575054564888,8.20153236530887,8.4607695132788,8.47655970358965,168,223,237
s_00077E96CF,s_00077E96CF,12,13,10,Normal,128,A1_Adolescent,FP,7.14026740520127,7.71361482971503,7.71892036712372,8.32772278963479,8.56515382980269,8.74608133288155,239,311,388
s_00077E988C,s_00077E988C,18,19,16,Elevated,207,A4_Aged,F,7.11914155331396,7.73914045542257,7.58339523255559,8.30058056791309,8.59507089549777,8.58014649894468,427,597,599
s_00077E993E,s_00077E993E,12,12,11,Normal,207,A4_Aged,FP,6.76016601675155,7.60115135430484,7.42910944248406,7.86181554707675,8.43101071054829,8.39682465761712,79,167,167
s_00077E995B,s_00077E995B,14,14,15,Normal,176,A3_Middle_Aged,FP,7.11794737306588,7.79145150778399,7.34920516997892,8.30167846538921,8.65875904921159,8.30095859217345,160,257,160
s_00077E9963,s_00077E9963,20,22,19,High,238,A4_Aged,F,6.90421177559759,8.26836482435493,7.23374088709694,8.04011356520459,9.24819877550762,8.1609674869783,82,314,97
s_00077E9968,s_00077E9968,10,10,10,Normal,183,A4_Aged,M,7.10286433458107,7.84313807571528,7.3696676714191,8.2826918376896,8.72089727180672,8.32557431397482,180,289,190
s_00077E9993,s_00077E9993,14,15,14,Normal,177,A3_Middle_Aged,F,7.42836241862345,7.748782923681,7.5511855081032,8.70557541074518,8.60793396340879,8.54456154423455,222,193,186
s_00077E9995,s_00077E9995,17,16,19,Elevated,127,A1_Adolescent,F,7.07748475861113,7.87100281214856,7.4794801621049,8.25222100654944,8.75525563642177,8.45742151328312,146,254,189
s_00077E9ACA,s_00077E9ACA,13,13,13,Normal,228,A4_Aged,FP,6.97019366441518,7.70207709289996,7.56993724386971,8.1215022402882,8.55177334524377,8.56766663947702,102,174,179
s_00077E9BB7,s_00077E9BB7,17,16,18,Elevated,145,A2_Adult,F,7.28715897773946,7.54175306029079,7.22338946795276,8.51379167926265,8.36106138024178,8.15120881473662,222,184,141
s_00077E9BD9,s_00077E9BD9,18,19,18,Elevated,346,A4_Aged,M,6.96416185430607,7.56494745144976,7.23231252712838,8.11438359935527,8.38857072885349,8.16185043697669,135,195,144
s_00077E9C1F,s_00077E9C1F,16,16,16,Elevated,176,A3_Middle_Aged,FP,7.3128689021853,7.82132738641169,7.10351117059028,8.54636819593436,8.69442249268055,8.01014374013199,261,298,131
s_00077E9C26,s_00077E9C26,12,14,11,Normal,160,A3_Middle_Aged,FP,6.983203949014,7.73821528273659,7.17426842183372,8.13742952833978,8.59517039249429,8.09094002846984,111,194,104
s_00077E9D1B,s_00077E9D1B,14,14,13,Normal,138,A2_Adult,F,6.81343318897998,7.24827726081992,7.56060245619046,7.93071776385773,8.01798786880168,8.55469884652053,114,131,260
s_00077E9E77,s_00077E9E77,12,11,13,Normal,113,A1_Adolescent,M,6.93643202879377,7.29721888505621,7.16449348889992,8.08034001011591,8.07156252387811,8.07948938959132,105,109,105
s_00077E9F3A,s_00077E9F3A,12,12,11,Normal,135,A2_Adult,M,6.80968458143056,7.66689457019086,7.6346567620908,7.9251783812168,8.50957369270643,8.6450243760327,99,208,253
s_000789990A,s_000789990A,0,0,0,NoData,NA,NoData,NoData,7.15085662851525,7.72654176409965,7.07781386627761,8.3425937459422,8.58103974847006,7.97640013698795,157,203,95
s_000792A14D,s_000792A14D,0,0,0,NoData,NA,NoData,NoData,6.77187436580032,7.68520853104009,7.45789590467416,7.8772719271171,8.5314274641333,8.43138952491987,86,229,186
s_000792A1F9,s_000792A1F9,0,0,0,NoData,NA,NoData,NoData,6.7745877404715,7.90151537449682,7.4353017386663,7.88145870018801,8.79174848029461,8.40413070188737,94,296,195
s_000792A2B8,s_000792A2B8,0,0,0,NoData,NA,NoData,NoData,6.65503974008712,8.03696245252661,7.39092607838313,7.72755319061132,8.95674706310155,8.35094873808247,73,365,184
s_000792A3E7,s_000792A3E7,0,0,0,NoData,NA,NoData,NoData,7.12212886523397,8.02467713020631,7.42398284248744,8.30876717922949,8.94566944221297,8.39092545700101,110,217,122
s_0007A027D6,s_0007A027D6,0,0,0,NoData,NA,NoData,NoData,6.899610975055,8.15374182767222,7.31750698135286,8.03589711659313,9.10114663274432,8.26321269322915,119,399,162
s_0007D2B45D,s_0007D2B45D,19,19,19,Elevated,121,A1_Adolescent,FP,6.87994950889602,7.74467967277354,7.82020877283122,8.01088988558172,8.60303216361616,8.87431577202899,92,188,263
s_0007D2C474,s_0007D2C474,10,10,10,Normal,126,A1_Adolescent,F,7.21038943738357,7.16187988137889,7.58851093741897,8.41714028841276,7.91152125500256,8.58973317065295,166,86,203
s_0007D2C6E2,s_0007D2C6E2,12,13,12,Normal,149,A2_Adult,F,7.10590469798884,7.67900634643052,6.85123579459489,8.28738775551153,8.52404530604759,7.70045226957807,139,177,57
s_0007D2CBB5,s_0007D2CBB5,11,11,10,Normal,154,A3_Middle_Aged,FP,7.13089469698728,7.64600426926409,7.38317118967862,8.3174015605863,8.48470379442611,8.34165453743168,171,213,176
s_0007D3C437,s_0007D3C437,18,18,19,Elevated,129,A1_Adolescent,F,7.13727261342889,7.7401450719504,7.47059273439642,8.32627822271437,8.59747002989314,8.44701393661289,140,197,162
s_0007D48378,s_0007D48378,16,17,15,Elevated,127,A1_Adolescent,M,7.04207155116405,7.10544710817538,7.27995813053232,8.20861848045277,7.85048705284711,8.219004119907,177,100,179
