Expression,Gene
1,7.08179206618379,ANGPT2
2,6.91202925508513,ANGPT2
3,6.98136056160029,ANGPT2
4,6.64251052379582,ANGPT2
5,6.77684368924752,ANGPT2
6,7.07798487290048,ANGPT2
7,6.92760609107693,ANGPT2
8,7.10818011269101,ANGPT2
9,6.93703418106125,ANGPT2
10,6.8211098991246,ANGPT2
11,6.74658904182068,ANGPT2
12,7.02566753075641,ANGPT2
13,7.2478696754355,ANGPT2
14,7.0151991468605,ANGPT2
15,6.99063083358252,ANGPT2
16,7.18148951997346,ANGPT2
17,6.85534589730422,ANGPT2
18,7.10728207621696,ANGPT2
19,7.05051121830137,ANGPT2
20,6.77714109170054,ANGPT2
21,6.96029603552206,ANGPT2
22,6.9058609396722,ANGPT2
23,7.03642583916378,ANGPT2
24,7.14129671578347,ANGPT2
25,7.12001242726248,ANGPT2
26,6.75802284864544,ANGPT2
27,7.11882422291948,ANGPT2
28,6.90337539932206,ANGPT2
29,7.10362798312298,ANGPT2
30,7.43119531473601,ANGPT2
31,7.07806211518966,ANGPT2
32,6.96992147795534,ANGPT2
33,7.28916816547823,ANGPT2
34,6.96384188673405,ANGPT2
35,7.31502860542823,ANGPT2
36,6.98303944794307,ANGPT2
37,6.81180046584596,ANGPT2
38,6.9358774364003,ANGPT2
39,6.80801218162416,ANGPT2
40,6.8789043998554,ANGPT2
41,7.21191448237061,ANGPT2
42,7.10669611409642,ANGPT2
43,7.13186405926526,ANGPT2
44,7.1382935087067,ANGPT2
45,7.04237531027402,ANGPT2
46,7.54086670374857,PTPRB
47,7.61814556347577,PTPRB
48,7.94677447614428,PTPRB
49,8.15613329991748,PTPRB
50,7.5313677462399,PTPRB
51,7.32982486402551,PTPRB
52,7.54605852261029,PTPRB
53,7.18590507367797,PTPRB
54,7.87183045288867,PTPRB
55,7.72833572158023,PTPRB
56,7.31870871796981,PTPRB
57,7.47153587810896,PTPRB
58,7.49457598525976,PTPRB
59,8.03683189198157,PTPRB
60,7.73184918181005,PTPRB
61,7.46523205621219,PTPRB
62,7.5352539755483,PTPRB
63,7.22923513529449,PTPRB
64,7.31259327181704,PTPRB
65,8.06153710765802,PTPRB
66,7.70536920357821,PTPRB
67,7.86288843273985,PTPRB
68,7.6256323966502,PTPRB
69,7.71362218065766,PTPRB
70,7.73919136670326,PTPRB
71,7.60092121193545,PTPRB
72,7.79161135106603,PTPRB
73,8.2693132442665,PTPRB
74,7.8433907429613,PTPRB
75,7.74886597615696,PTPRB
76,7.8713120250767,PTPRB
77,7.70206518415641,PTPRB
78,7.54139393868477,PTPRB
79,7.56464216683425,PTPRB
80,7.82153897865217,PTPRB
81,7.73827677114496,PTPRB
82,7.24716215887955,PTPRB
83,7.29620598190384,PTPRB
84,7.66680888838294,PTPRB
85,7.74475493377589,PTPRB
86,7.16044000554478,PTPRB
87,7.67894567061243,PTPRB
88,7.6458751356687,PTPRB
89,7.74021020352428,PTPRB
90,7.10387900280696,PTPRB
91,7.33967939485205,TEK
92,7.34387307268357,TEK
93,7.4951574233402,TEK
94,7.67387794082721,TEK
95,7.35595637954732,TEK
96,7.5057477038434,TEK
97,7.38989578642623,TEK
98,7.38060589163056,TEK
99,7.3627280939088,TEK
100,7.58324471826891,TEK
101,7.19358607137322,TEK
102,7.33000671187939,TEK
103,7.45334577383271,TEK
104,7.67187088703733,TEK
105,7.55780271006514,TEK
106,7.40193897702619,TEK
107,7.37139503791348,TEK
108,7.28303137358482,TEK
109,7.28453176906254,TEK
110,7.27836622741317,TEK
111,7.46732137055543,TEK
112,7.62160138533586,TEK
113,7.49609901032717,TEK
114,7.72012005306265,TEK
115,7.58407953006289,TEK
116,7.42917351644478,TEK
117,7.34890241545499,TEK
118,7.23284601597561,TEK
119,7.36946222960154,TEK
120,7.55177180100293,TEK
121,7.47976363901609,TEK
122,7.57060231810871,TEK
123,7.22246365278281,TEK
124,7.2314334501882,TEK
125,7.10193842263325,TEK
126,7.17306381175887,TEK
127,7.56121559183556,TEK
128,7.16323690288342,TEK
129,7.63556275119052,TEK
130,7.82179000706458,TEK
131,7.58924558106351,TEK
132,6.84797725690427,TEK
133,7.38302725536852,TEK
134,7.4708405922094,TEK
135,7.27932560023547,TEK
