Expression,Gene
1,7.08311394414976,ANGPT2
2,6.91039439870706,ANGPT2
3,6.9809801953031,ANGPT2
4,6.63535392458229,ANGPT2
5,6.77256255622098,ANGPT2
6,7.07925579771315,ANGPT2
7,6.92626377955803,ANGPT2
8,7.10993673440989,ANGPT2
9,6.93586056099039,ANGPT2
10,6.81769431944308,ANGPT2
11,6.741694750226,ANGPT2
12,7.02605718974221,ANGPT2
13,7.25168594981383,ANGPT2
14,7.01541053260604,ANGPT2
15,6.99041446621073,ANGPT2
16,7.18438150179016,ANGPT2
17,6.85262180391269,ANGPT2
18,7.1090585540755,ANGPT2
19,7.05130978951184,ANGPT2
20,6.772850209482,ANGPT2
21,6.95955351080494,ANGPT2
22,6.90411233449765,ANGPT2
23,7.03699640857356,ANGPT2
24,7.14354401626638,ANGPT2
25,7.12191623317872,ANGPT2
26,6.75336354686849,ANGPT2
27,7.12073932854089,ANGPT2
28,6.90156470779301,ANGPT2
29,7.10529741306184,ANGPT2
30,7.43736335572518,ANGPT2
31,7.07932630767876,ANGPT2
32,6.96933829490923,ANGPT2
33,7.2935437169111,ANGPT2
34,6.96315457851603,ANGPT2
35,7.31973203805184,ANGPT2
36,6.98269048820269,ANGPT2
37,6.80825309166057,ANGPT2
38,6.93467968082706,ANGPT2
39,6.80437884931889,ANGPT2
40,6.87663878350076,ANGPT2
41,7.21523728862769,ANGPT2
42,7.10842526511558,ANGPT2
43,7.13398030469103,ANGPT2
44,7.1405210620682,ANGPT2
45,7.04304500397201,ANGPT2
46,7.54009479887733,PTPRB
47,7.617741792433,PTPRB
48,7.94775756377059,PTPRB
49,8.15780679957916,PTPRB
50,7.53053534336047,PTPRB
51,7.32781992210188,PTPRB
52,7.54531985618717,PTPRB
53,7.1829898775058,PTPRB
54,7.87249085966018,PTPRB
55,7.72843222881055,PTPRB
56,7.31671110528064,PTPRB
57,7.47042675565942,PTPRB
58,7.49357550436001,PTPRB
59,8.03807155341417,PTPRB
60,7.73195874804999,PTPRB
61,7.4640140005126,PTPRB
62,7.53442898913303,PTPRB
63,7.2262473133814,PTPRB
64,7.31072170193922,PTPRB
65,8.06289686545145,PTPRB
66,7.70534968967524,PTPRB
67,7.8635163849712,PTPRB
68,7.62526907465721,PTPRB
69,7.71364037301322,PTPRB
70,7.73930323344921,PTPRB
71,7.60043185645484,PTPRB
72,7.79195548533207,PTPRB
73,8.27134218212171,PTPRB
74,7.84393357538515,PTPRB
75,7.74904554504375,PTPRB
76,7.87197526373046,PTPRB
77,7.70204191077396,PTPRB
78,7.54062855240906,PTPRB
79,7.56399178377195,PTPRB
80,7.82199407206258,PTPRB
81,7.73841030452956,PTPRB
82,7.24478003330823,PTPRB
83,7.29404512985727,PTPRB
84,7.66662802488077,PTPRB
85,7.74491782880291,PTPRB
86,7.15736752880256,PTPRB
87,7.67881827168035,PTPRB
88,7.64560135876319,PTPRB
89,7.74035153656907,PTPRB
90,7.1005284269247,PTPRB
91,7.33893946378355,TEK
92,7.343172290455,TEK
93,7.49592596756651,TEK
94,7.67617596789124,TEK
95,7.35537523697798,TEK
96,7.5066091969526,TEK
97,7.38965708805145,TEK
98,7.3802718160051,TEK
99,7.36221843832035,TEK
100,7.58480508877037,TEK
101,7.19125004510568,TEK
102,7.32916951311335,TEK
103,7.45371218013252,TEK
104,7.67411422924395,TEK
105,7.55914148067013,TEK
106,7.40181647283807,TEK
107,7.3709680508489,TEK
108,7.28162187742945,TEK
109,7.28325123253127,TEK
110,7.27695913508611,TEK
111,7.46780193391162,TEK
112,7.62344525861438,TEK
113,7.49685217704339,TEK
114,7.72270534190518,TEK
115,7.58555687178612,TEK
116,7.42931450364513,TEK
117,7.34825403767152,TEK
118,7.23092428713578,TEK
119,7.36902319471958,TEK
120,7.55303584892452,TEK
121,7.48037667114149,TEK
122,7.57203553893358,TEK
123,7.22047356016696,TEK
124,7.22954400542578,TEK
125,7.09855340996367,TEK
126,7.17047436143911,TEK
127,7.56253827022079,TEK
128,7.16053534799198,TEK
129,7.63751501291342,TEK
130,7.82519318584354,TEK
131,7.59082875273114,TEK
132,6.84095767241394,TEK
133,7.38272066518945,TEK
134,7.47137679747967,TEK
135,7.27796678439719,TEK
